¾®ºÅ	ÈÕÆÚ	¾®¶Î¶¥	¾®¶Îµ×
L8-1828	198409	1142.4	1143.1
L8-1828	198409	1144.6	1148.7
L8-1828	198409	1150.6	1153.3
L8-1828	198409	1153.7	1154.1
L8-1828	198409	1155.2	1156
L8-1828	198409	1159.6	1162.8
L8-1828	198409	1165.6	1167
L8-1828	198409	1170.6	1171.4
L8-1828	198409	1173.2	1174.6
L8-1828	198409	1175	1177.6
L8-1828	198409	1180.6	1182.4
L8-1828	198409	1183.2	1184.4
L8-1828	198409	1185	1186
L8-1828	198409	1188	1190
L8-1828	198409	1193.2	1194.2
L8-1828	198409	1197.2	1199
L8-1828	198409	1205.4	1206
L8-1828	198409	1208	1210.2
L8-1828	198409	1211.2	1212.4
L8-1838	198408	1086.1	1086.8
L8-1838	198408	1097.6	1098.8
